Rank,team_num,Team,Team_Name,year,HomeGames,Home_TOT,Home_AVG,Home_AVG_z,Home_AVG_sd1,Home_AVG_sd2,Home_AVG_sd3,Home_AVG_sdComb,Home_AVG_sdInt,Home_AVG_zcolor,Home_PCT,RoadGames,Road_TOT,Road_AVG,Road_AVG_z,Road_AVG_sd1,Road_AVG_sd2,Road_AVG_sd3,Road_AVG_sdComb,Road_AVG_sdInt,Road_AVG_zcolor,ROAD_PCT,TOT_Games,TOT_TOT,TOT_AVG,TOT_AVG_z,TOT_AVG_sd1,TOT_AVG_sd2,TOT_AVG_sd3,TOT_AVG_sdComb,TOT_AVG_sdInt,TOT_AVG_zcolor,TOT_PCT,Lat,Lon,hover,band
11,1,Atlanta,Cardinals,2012,8,560773,70096,0.287906774,+1,,,+1,1,#fee090,98.4,8,541625,67703,-0.045844563,-1,,,-1,-1,#e0f3f8,92.7,16,1102398,68899,0.23554106,+1,,,+1,1,#fee090,95.5,33.7490987,-84.3901849,Total Attendance in 2012 for Atlanta was 1102398,FALSE
13,1,Atlanta,Cardinals,2013,8,561795,70224,0.303885588,+1,,,+1,1,#fee090,98.6,7,480041,68577,0.235935752,+1,,,+1,1,#fee090,97.2,15,1041836,69455,0.358064204,+1,,,+1,1,#fee090,97.9,33.7490987,-84.3901849,Total Attendance in 2013 for Atlanta was 1041836,FALSE
13,1,Atlanta,Cardinals,2014,7,493515,70502,0.338589574,+1,,,+1,1,#fee090,99,8,543979,67997,0.04894195,+1,,,+1,1,#fee090,98.1,15,1037494,69166,0.294378613,+1,,,+1,1,#fee090,98.5,33.7490987,-84.3901849,Total Attendance in 2014 for Atlanta was 1037494,FALSE
13,1,Atlanta,Cardinals,2015,8,562845,70355,0.320238905,+1,,,+1,1,#fee090,98.8,8,571826,71478,1.171227163,,+2,,+2,2,#fdae61,94.8,16,1134671,70916,0.680018003,+1,,,+1,1,#fee090,96.7,33.7490987,-84.3901849,Total Attendance in 2015 for Atlanta was 1134671,FALSE
7,2,Baltimore,Ravens,2009,8,568660,71082,0.410993574,+1,,,+1,1,#fee090,100.1,8,505417,63177,-1.505041022,,-2,,-2,-2,#abd9e9,92.9,16,1074077,67129,-0.154505637,-1,,,-1,-1,#e0f3f8,96.6,39.2908608,-76.6108073,Total Attendance in 2009 for Baltimore was 1074077,TRUE
7,2,Baltimore,Ravens,2010,8,569817,71227,0.429094574,+1,,,+1,1,#fee090,100.3,8,553619,69202,0.437437693,+1,,,+1,1,#fee090,96.9,16,1123436,70214,0.525321516,+1,,,+1,1,#fee090,98.6,39.2908608,-76.6108073,Total Attendance in 2010 for Baltimore was 1123436,TRUE
10,2,Baltimore,Ravens,2011,8,569792,71224,0.428720071,+1,,,+1,1,#fee090,100.3,8,514110,64263,-1.154911249,,-2,,-2,-2,#abd9e9,94.6,16,1083902,67743,-0.019201302,-1,,,-1,-1,#e0f3f8,97.5,39.2908608,-76.6108073,Total Attendance in 2011 for Baltimore was 1083902,TRUE
9,2,Baltimore,Ravens,2012,8,570229,71278,0.435461133,+1,,,+1,1,#fee090,100.4,8,539175,67396,-0.144822317,-1,,,-1,-1,#e0f3f8,92.6,16,1109404,69337,0.33206109,+1,,,+1,1,#fee090,96.5,39.2908608,-76.6108073,Total Attendance in 2012 for Baltimore was 1109404,TRUE
12,2,Baltimore,Ravens,2013,8,569084,71135,0.417609802,+1,,,+1,1,#fee090,100.2,8,536938,67117,-0.234772784,-1,,,-1,-1,#e0f3f8,96.9,16,1106022,69126,0.285563998,+1,,,+1,1,#fee090,98.6,39.2908608,-76.6108073,Total Attendance in 2013 for Baltimore was 1106022,TRUE
11,2,Baltimore,Ravens,2014,8,568353,71044,0.406249864,+1,,,+1,1,#fee090,100.1,8,527776,65972,-0.60392434,-1,,,-1,-1,#e0f3f8,95.6,16,1096129,68508,0.149378202,+1,,,+1,1,#fee090,97.9,39.2908608,-76.6108073,Total Attendance in 2014 for Baltimore was 1096129,TRUE
11,2,Baltimore,Ravens,2015,8,568018,71002,0.401006816,+1,,,+1,1,#fee090,100,8,515901,64487,-1.082692953,,-2,,-2,-2,#abd9e9,95.1,16,1083919,67744,-0.018980937,-1,,,-1,-1,#e0f3f8,97.6,39.2908608,-76.6108073,Total Attendance in 2015 for Baltimore was 1083919,TRUE
10,3,Buffalo,Bills,2009,7,490898,70128,0.291901477,+1,,,+1,1,#fee090,95.9,8,538279,67284,-0.180931465,-1,,,-1,-1,#e0f3f8,92.4,15,1029177,68611,0.172075835,+1,,,+1,1,#fee090,94.1,42.8864468,-78.8783689,Total Attendance in 2009 for Buffalo was 1029177,FALSE
22,3,Buffalo,Bills,2010,7,442366,63195,-0.573575995,-1,,,-1,-1,#e0f3f8,86.5,8,541538,67692,-0.049390997,-1,,,-1,-1,#e0f3f8,93.9,15,983904,65593,-0.492986839,-1,,,-1,-1,#e0f3f8,90.4,42.8864468,-78.8783689,Total Attendance in 2010 for Buffalo was 983904,FALSE
24,3,Buffalo,Bills,2011,7,438864,62694,-0.636118071,-1,,,-1,-1,#e0f3f8,85.8,8,542166,67770,-0.024243555,-1,,,-1,-1,#e0f3f8,90,15,981030,65402,-0.535076623,-1,,,-1,-1,#e0f3f8,88,42.8864468,-78.8783689,Total Attendance in 2011 for Buffalo was 981030,FALSE
21,3,Buffalo,Bills,2012,7,454653,64950,-0.354491477,-1,,,-1,-1,#e0f3f8,88.9,8,537840,67230,-0.198341233,-1,,,-1,-1,#e0f3f8,94.8,15,992493,66166,-0.366717484,-1,,,-1,-1,#e0f3f8,92,42.8864468,-78.8783689,Total Attendance in 2012 for Buffalo was 992493,FALSE
19,3,Buffalo,Bills,2013,7,463873,66267,-0.190084462,-1,,,-1,-1,#e0f3f8,90.7,8,529634,66204,-0.52912682,-1,,,-1,-1,#e0f3f8,92.8,15,993507,66233,-0.351953005,-1,,,-1,-1,#e0f3f8,91.8,42.8864468,-78.8783689,Total Attendance in 2013 for Buffalo was 993507,FALSE
19,3,Buffalo,Bills,2014,8,540180,67522,-0.033417186,-1,,,-1,-1,#e0f3f8,93.8,8,545794,68224,0.122127455,+1,,,+1,1,#fee090,96.9,16,1085974,67873,0.009446195,+1,,,+1,1,#fee090,95.3,42.8864468,-78.8783689,Total Attendance in 2014 for Buffalo was 1085974,FALSE
14,3,Buffalo,Bills,2015,8,559047,69880,0.260942525,+1,,,+1,1,#fee090,95.6,8,581762,72720,1.571651821,,+2,,+2,2,#fdae61,99.8,16,1140809,71300,0.764638303,+1,,,+1,1,#fee090,97.7,42.8864468,-78.8783689,Total Attendance in 2015 for Buffalo was 1140809,FALSE
6,4,Carolina,Panthers,2009,8,586314,73289,0.686503279,+1,,,+1,1,#fee090,99.3,8,576311,72038,1.351772902,,+2,,+2,2,#fdae61,98.9,16,1162625,72664,1.065216662,,+2,,+2,2,#fdae61,99.1,35.2270869,-80.8431268,Total Attendance in 2009 for Carolina was 1162625,TRUE
6,4,Carolina,Panthers,2010,8,580965,72620,0.602989009,+1,,,+1,1,#fee090,98.4,8,503943,62992,-1.564685597,,-2,,-2,-2,#abd9e9,89.5,16,1084908,67806,-0.005318284,-1,,,-1,-1,#e0f3f8,94.1,35.2270869,-80.8431268,Total Attendance in 2010 for Carolina was 1084908,TRUE
7,4,Carolina,Panthers,2011,8,578342,72292,0.562043299,+1,,,+1,1,#fee090,98,8,520245,65030,-0.907628066,-1,,,-1,-1,#e0f3f8,97.5,16,1098587,68661,0.183094103,+1,,,+1,1,#fee090,97.8,35.2270869,-80.8431268,Total Attendance in 2011 for Carolina was 1098587,TRUE
6,4,Carolina,Panthers,2012,8,586347,73293,0.687002617,+1,,,+1,1,#fee090,99.3,8,522108,65263,-0.832508143,-1,,,-1,-1,#e0f3f8,90.2,16,1108455,69278,0.319059534,+1,,,+1,1,#fee090,94.8,35.2270869,-80.8431268,Total Attendance in 2012 for Carolina was 1108455,TRUE
8,4,Carolina,Panthers,2013,8,587544,73443,0.705727789,+1,,,+1,1,#fee090,99.5,8,524685,65585,-0.728694342,-1,,,-1,-1,#e0f3f8,94.4,16,1112229,69514,0.37106576,+1,,,+1,1,#fee090,97,35.2270869,-80.8431268,Total Attendance in 2013 for Carolina was 1112229,TRUE
8,4,Carolina,Panthers,2014,8,588861,73607,0.726200644,+1,,,+1,1,#fee090,99.8,8,534452,66806,-0.33504015,-1,,,-1,-1,#e0f3f8,99.5,16,1123313,70207,0.523778959,+1,,,+1,1,#fee090,99.7,35.2270869,-80.8431268,Total Attendance in 2014 for Carolina was 1123313,TRUE
8,4,Carolina,Panthers,2015,8,592454,74056,0.782251327,+1,,,+1,1,#fee090,100.4,8,565235,70654,0.905567003,+1,,,+1,1,#fee090,94.3,16,1157689,72355,0.997123764,+1,,,+1,1,#fee090,97.3,35.2270869,-80.8431268,Total Attendance in 2015 for Carolina was 1157689,TRUE
28,5,Chicago,Bears,2009,8,498000,62250,-0.691544582,-1,,,-1,-1,#e0f3f8,101.2,8,533114,66639,-0.388881468,-1,,,-1,-1,#e0f3f8,97.5,16,1031114,64444,-0.746186644,-1,,,-1,-1,#e0f3f8,99.3,41.8755546,-87.6244212,Total Attendance in 2009 for Chicago was 1031114,FALSE
26,5,Chicago,Bears,2010,8,497561,62195,-0.698410478,-1,,,-1,-1,#e0f3f8,101.1,7,474556,67793,-0.016828284,-1,,,-1,-1,#e0f3f8,95.1,15,972117,64807,-0.666194016,-1,,,-1,-1,#e0f3f8,98.1,41.8755546,-87.6244212,Total Attendance in 2010 for Chicago was 972117,FALSE
26,5,Chicago,Bears,2011,8,497166,62145,-0.704652202,-1,,,-1,-1,#e0f3f8,101,7,479196,68456,0.196924976,+1,,,+1,1,#fee090,99.6,15,976362,65090,-0.603830617,-1,,,-1,-1,#e0f3f8,100.3,41.8755546,-87.6244212,Total Attendance in 2011 for Chicago was 976362,FALSE
23,5,Chicago,Bears,2012,8,498633,62329,-0.681682657,-1,,,-1,-1,#e0f3f8,101.3,8,557829,69728,0.607021727,+1,,,+1,1,#fee090,101.2,16,1056462,66028,-0.397127905,-1,,,-1,-1,#e0f3f8,101.2,41.8755546,-87.6244212,Total Attendance in 2012 for Chicago was 1056462,FALSE
26,5,Chicago,Bears,2013,8,498864,62358,-0.678062457,-1,,,-1,-1,#e0f3f8,101.4,8,558211,69776,0.622497076,+1,,,+1,1,#fee090,98.9,16,1057075,66067,-0.388533655,-1,,,-1,-1,#e0f3f8,100.1,41.8755546,-87.6244212,Total Attendance in 2013 for Chicago was 1057075,FALSE
27,5,Chicago,Bears,2014,8,493449,61681,-0.762575402,-1,,,-1,-1,#e0f3f8,100.3,8,556917,69614,0.570267773,+1,,,+1,1,#fee090,100.9,16,1050366,65647,-0.481087109,-1,,,-1,-1,#e0f3f8,100.6,41.8755546,-87.6244212,Total Attendance in 2014 for Chicago was 1050366,FALSE
25,5,Chicago,Bears,2015,8,496287,62035,-0.718383995,-1,,,-1,-1,#e0f3f8,100.9,8,523778,65472,-0.765125893,-1,,,-1,-1,#e0f3f8,97.6,16,1020065,63754,-0.898238746,-1,,,-1,-1,#e0f3f8,99.2,41.8755546,-87.6244212,Total Attendance in 2015 for Chicago was 1020065,FALSE
23,6,Cincinnati,Bengals,2009,8,512032,64004,-0.472584898,-1,,,-1,-1,#e0f3f8,97.7,8,523036,65379,-0.795109382,-1,,,-1,-1,#e0f3f8,93.3,16,1035068,64691,-0.691756398,-1,,,-1,-1,#e0f3f8,95.4,39.1014537,-84.5124602,Total Attendance in 2009 for Cincinnati was 1035068,TRUE
27,6,Cincinnati,Bengals,2010,8,482917,60364,-0.926982417,-1,,,-1,-1,#e0f3f8,92.1,8,550935,68866,0.329110249,+1,,,+1,1,#fee090,96.9,16,1033852,64615,-0.708504166,-1,,,-1,-1,#e0f3f8,94.6,39.1014537,-84.5124602,Total Attendance in 2010 for Cincinnati was 1033852,TRUE
32,6,Cincinnati,Bengals,2011,8,394009,49251,-2.314268029,,,-3,-3,-3,#74add1,75.2,8,528996,66124,-0.554919068,-1,,,-1,-1,#e0f3f8,95.5,16,923005,57687,-2.235195419,,,-3,-3,-3,#74add1,85.6,39.1014537,-84.5124602,Total Attendance in 2011 for Cincinnati was 923005,TRUE
24,6,Cincinnati,Bengals,2012,8,489504,61188,-0.824118803,-1,,,-1,-1,#e0f3f8,93.4,8,531910,66488,-0.437564337,-1,,,-1,-1,#e0f3f8,91.1,16,1021414,63838,-0.879728055,-1,,,-1,-1,#e0f3f8,92.2,39.1014537,-84.5124602,Total Attendance in 2012 for Cincinnati was 1021414,TRUE
25,6,Cincinnati,Bengals,2013,8,506377,63297,-0.560842878,-1,,,-1,-1,#e0f3f8,96.6,8,495429,61928,-1.907722502,,-2,,-2,-2,#abd9e9,89.3,16,1001806,62612,-1.149895994,,-2,,-2,-2,#abd9e9,92.9,39.1014537,-84.5124602,Total Attendance in 2013 for Cincinnati was 1001806,TRUE
28,6,Cincinnati,Bengals,2014,8,485628,60703,-0.884663527,-1,,,-1,-1,#e0f3f8,92.7,8,539538,67442,-0.129991774,-1,,,-1,-1,#e0f3f8,98,16,1025166,64072,-0.82816256,-1,,,-1,-1,#e0f3f8,95.4,39.1014537,-84.5124602,Total Attendance in 2014 for Cincinnati was 1025166,TRUE
28,6,Cincinnati,Bengals,2015,8,491118,61389,-0.799027072,-1,,,-1,-1,#e0f3f8,93.7,8,537000,67125,-0.232193559,-1,,,-1,-1,#e0f3f8,96.7,16,1028118,64257,-0.787394967,-1,,,-1,-1,#e0f3f8,95.2,39.1014537,-84.5124602,Total Attendance in 2015 for Cincinnati was 1028118,TRUE
15,7,Cleveland,Bengals,2009,8,551110,68888,0.137106718,+1,,,+1,1,#fee090,94.1,8,503105,62888,-1.59821552,,-2,,-2,-2,#abd9e9,90.9,16,1054215,65888,-0.427979056,-1,,,-1,-1,#e0f3f8,92.5,41.5051613,-81.6934446,Total Attendance in 2009 for Cleveland was 1054215,FALSE
20,7,Cleveland,Bengals,2010,8,528933,66116,-0.208934469,-1,,,-1,-1,#e0f3f8,90.3,8,488974,61121,-2.167901809,,,-3,-3,-3,#74add1,88,16,1017907,63619,-0.92798807,-1,,,-1,-1,#e0f3f8,89.2,41.5051613,-81.6934446,Total Attendance in 2010 for Cleveland was 1017907,FALSE
18,7,Cleveland,Bengals,2011,8,526874,65859,-0.241016932,-1,,,-1,-1,#e0f3f8,90,8,504118,63014,-1.557592729,,-2,,-2,-2,#abd9e9,94.7,16,1030992,64437,-0.747729201,-1,,,-1,-1,#e0f3f8,92.2,41.5051613,-81.6934446,Total Attendance in 2011 for Cleveland was 1030992,FALSE
18,7,Cleveland,Bengals,2012,8,533058,66632,-0.144519876,-1,,,-1,-1,#e0f3f8,91,8,532210,66526,-0.425313019,-1,,,-1,-1,#e0f3f8,94,16,1065268,66579,-0.275706588,-1,,,-1,-1,#e0f3f8,92.5,41.5051613,-81.6934446,Total Attendance in 2012 for Cleveland was 1065268,FALSE
11,7,Cleveland,Bengals,2013,8,569939,71242,0.430967092,+1,,,+1,1,#fee090,97.3,8,552811,69101,0.404874979,+1,,,+1,1,#fee090,97.6,16,1122750,70171,0.515845805,+1,,,+1,1,#fee090,97.4,41.5051613,-81.6934446,Total Attendance in 2013 for Cleveland was 1122750,FALSE
20,7,Cleveland,Bengals,2014,8,539400,67425,-0.045526131,-1,,,-1,-1,#e0f3f8,92.1,8,544455,68056,0.067963733,+1,,,+1,1,#fee090,97.9,16,1083855,67740,-0.019862399,-1,,,-1,-1,#e0f3f8,94.9,41.5051613,-81.6934446,Total Attendance in 2014 for Cleveland was 1083855,FALSE
20,7,Cleveland,Bengals,2015,8,529488,66186,-0.200196056,-1,,,-1,-1,#e0f3f8,90.4,8,532774,66596,-0.402744802,-1,,,-1,-1,#e0f3f8,94.4,16,1062262,66391,-0.317135277,-1,,,-1,-1,#e0f3f8,92.4,41.5051613,-81.6934446,Total Attendance in 2015 for Cleveland was 1062262,FALSE
1,8,Dallas,Cowboys,2009,8,718055,89756,2.742152714,,,+3,+3,3,#f46d43,112.2,8,589176,73647,1.8705195,,+2,,+2,2,#fdae61,97.6,16,1307231,81701,3.056658471,,,+3,+3,3,#f46d43,105.1,32.7761963,-96.7968994,Total Attendance in 2009 for Dallas was 1307231,TRUE
1,8,Dallas,Cowboys,2010,8,696377,87047,2.403976099,,,+3,+3,3,#f46d43,108.8,8,581596,72699,1.564881356,,+2,,+2,2,#fdae61,100.9,16,1277973,79873,2.653830583,,,+3,+3,3,#f46d43,105.1,32.7761963,-96.7968994,Total Attendance in 2010 for Dallas was 1277973,TRUE
1,8,Dallas,Cowboys,2011,8,684096,85512,2.212355167,,,+3,+3,3,#f46d43,106.9,8,574875,71859,1.294062746,,+2,,+2,2,#fdae61,97.1,16,1258971,78685,2.392036529,,,+3,+3,3,#f46d43,102.2,32.7761963,-96.7968994,Total Attendance in 2011 for Dallas was 1258971,TRUE
1,8,Dallas,Cowboys,2012,8,708249,88531,2.589230472,,,+3,+3,3,#f46d43,110.7,8,582079,72759,1.584225542,,+2,,+2,2,#fdae61,98.6,16,1290328,80645,2.823952645,,,+3,+3,3,#f46d43,104.9,32.7761963,-96.7968994,Total Attendance in 2012 for Dallas was 1290328,TRUE
1,8,Dallas,Cowboys,2013,8,704345,88043,2.528311244,,,+3,+3,3,#f46d43,110.1,8,575233,71904,1.308570886,,+2,,+2,2,#fdae61,97.7,16,1279578,79973,2.675867119,,,+3,+3,3,#f46d43,104.1,32.7761963,-96.7968994,Total Attendance in 2013 for Dallas was 1279578,TRUE
1,8,Dallas,Cowboys,2014,8,720558,90069,2.781225907,,,+3,+3,3,#f46d43,112.6,7,488885,69840,0.643130875,+1,,,+1,1,#fee090,96.9,15,1209443,80629,2.820426799,,,+3,+3,3,#f46d43,105.7,32.7761963,-96.7968994,Total Attendance in 2014 for Dallas was 1209443,TRUE
1,8,Dallas,Cowboys,2015,8,731672,91459,2.954745839,,,+3,+3,3,#f46d43,91.5,8,580857,72607,1.53522027,,+2,,+2,2,#fdae61,98.4,16,1312529,82033,3.129819773,,,+3,+3,3,#f46d43,94.4,32.7761963,-96.7968994,Total Attendance in 2015 for Dallas was 1312529,TRUE
5,9,Denver,Broncos,2009,8,600928,75116,0.91457588,+1,,,+1,1,#fee090,98.7,8,538731,67341,-0.162554488,-1,,,-1,-1,#e0f3f8,94.5,16,1139659,71228,0.748771997,+1,,,+1,1,#fee090,96.7,39.7391536,-104.9847034,Total Attendance in 2009 for Denver was 1139659,FALSE
5,9,Denver,Broncos,2010,8,599264,74908,0.888610307,+1,,,+1,1,#fee090,98.4,7,446243,63749,-1.320626445,,-2,,-2,-2,#abd9e9,92.6,15,1045507,69700,0.412053718,+1,,,+1,1,#fee090,95.8,39.7391536,-104.9847034,Total Attendance in 2010 for Denver was 1045507,FALSE
5,9,Denver,Broncos,2011,8,602618,75327,0.940915955,+1,,,+1,1,#fee090,99,8,506992,63374,-1.44152761,,-2,,-2,-2,#abd9e9,89.6,16,1109610,69350,0.33492584,+1,,,+1,1,#fee090,94.5,39.7391536,-104.9847034,Total Attendance in 2011 for Denver was 1109610,FALSE
5,9,Denver,Broncos,2012,8,613062,76632,1.103824956,,+2,,+2,2,#fdae61,100.7,8,544717,68089,0.078603036,+1,,,+1,1,#fee090,97,16,1157779,72361,0.998445956,+1,,,+1,1,#fee090,98.9,39.7391536,-104.9847034,Total Attendance in 2012 for Denver was 1157779,FALSE
6,9,Denver,Broncos,2013,8,614977,76872,1.133785232,,+2,,+2,2,#fdae61,101,8,579168,72396,1.467193214,,+2,,+2,2,#fdae61,100.5,16,1194145,74634,1.499336432,,+2,,+2,2,#fdae61,100.7,39.7391536,-104.9847034,Total Attendance in 2013 for Denver was 1194145,FALSE
6,9,Denver,Broncos,2014,8,615517,76939,1.142149142,,+2,,+2,2,#fdae61,101.1,8,541250,67656,-0.060997509,-1,,,-1,-1,#e0f3f8,96.6,16,1156767,72297,0.984342573,+1,,,+1,1,#fee090,98.9,39.7391536,-104.9847034,Total Attendance in 2014 for Denver was 1156767,FALSE
5,9,Denver,Broncos,2015,8,615381,76922,1.140026956,,+2,,+2,2,#fdae61,101,8,527010,65876,-0.634875038,-1,,,-1,-1,#e0f3f8,97.9,16,1142391,71399,0.786454474,+1,,,+1,1,#fee090,99.6,39.7391536,-104.9847034,Total Attendance in 2015 for Denver was 1142391,FALSE
31,10,Detroit,Lions,2009,8,395162,49395,-2.296291863,,,-3,-3,-3,#74add1,76.6,8,536519,67064,-0.251860148,-1,,,-1,-1,#e0f3f8,98.4,16,931681,58230,-2.115537026,,,-3,-3,-3,#74add1,87.8,42.3486635,-83.0567375,Total Attendance in 2009 for Detroit was 931681,TRUE
29,10,Detroit,Lions,2010,8,450286,56285,-1.436182274,,-2,,-2,-2,#abd9e9,87.3,8,526932,65866,-0.638099069,-1,,,-1,-1,#e0f3f8,91.6,16,977218,61076,-1.488377195,,-2,,-2,-2,#abd9e9,89.6,42.3486635,-83.0567375,Total Attendance in 2010 for Detroit was 977218,TRUE
21,10,Detroit,Lions,2011,8,509940,63742,-0.505291533,-1,,,-1,-1,#e0f3f8,98.8,8,531640,66455,-0.44820364,-1,,,-1,-1,#e0f3f8,95.6,16,1041580,65098,-0.602067695,-1,,,-1,-1,#e0f3f8,97.1,42.3486635,-83.0567375,Total Attendance in 2011 for Detroit was 1041580,TRUE
22,10,Detroit,Lions,2012,8,510158,63769,-0.501921001,-1,,,-1,-1,#e0f3f8,98.9,8,528293,66036,-0.583290541,-1,,,-1,-1,#e0f3f8,98.6,16,1038451,64903,-0.645038941,-1,,,-1,-1,#e0f3f8,98.7,42.3486635,-83.0567375,Total Attendance in 2012 for Detroit was 1038451,TRUE
24,10,Detroit,Lions,2013,8,510369,63796,-0.49855047,-1,,,-1,-1,#e0f3f8,98.9,8,543472,67934,0.028630554,+1,,,+1,1,#fee090,97.1,16,1053841,65865,-0.433047459,-1,,,-1,-1,#e0f3f8,98,42.3486635,-83.0567375,Total Attendance in 2013 for Detroit was 1053841,TRUE
23,10,Detroit,Lions,2014,8,504198,63024,-0.594922691,-1,,,-1,-1,#e0f3f8,97.7,7,475030,67861,0.005095127,+1,,,+1,1,#fee090,100.5,15,979228,65281,-0.561740833,-1,,,-1,-1,#e0f3f8,99,42.3486635,-83.0567375,Total Attendance in 2014 for Detroit was 979228,TRUE
29,10,Detroit,Lions,2015,8,490782,61347,-0.80427012,-1,,,-1,-1,#e0f3f8,94.4,8,534963,66870,-0.314406351,-1,,,-1,-1,#e0f3f8,98.4,16,1025745,64109,-0.820009041,-1,,,-1,-1,#e0f3f8,96.4,42.3486635,-83.0567375,Total Attendance in 2015 for Detroit was 1025745,TRUE
8,11,Green Bay,Packers,2009,8,565666,70708,0.364305478,+1,,,+1,1,#fee090,97,8,501517,62689,-1.662373738,,-2,,-2,-2,#abd9e9,95.9,16,1067183,66698,-0.24948311,-1,,,-1,-1,#e0f3f8,96.5,44.5299412,-88.0248317,Total Attendance in 2009 for Green Bay was 1067183,FALSE
9,11,Green Bay,Packers,2010,8,566362,70795,0.375166078,+1,,,+1,1,#fee090,97.1,8,556306,69538,0.545765137,+1,,,+1,1,#fee090,97.3,16,1122668,70166,0.514743979,+1,,,+1,1,#fee090,97.2,44.5299412,-88.0248317,Total Attendance in 2010 for Green Bay was 1122668,FALSE
11,11,Green Bay,Packers,2011,8,564097,70512,0.339837919,+1,,,+1,1,#fee090,96.7,8,558926,69865,0.651190952,+1,,,+1,1,#fee090,98.8,16,1123023,70188,0.519592017,+1,,,+1,1,#fee090,97.7,44.5299412,-88.0248317,Total Attendance in 2011 for Green Bay was 1123023,FALSE
